education,skills,sector_interest,location,category,district_type,prev_internship,internship_id,required_skills,internship_sector,internship_location,skill_overlap,sector_match,location_score,social_weight,edu_level,label
High School,"[""Medical Research"", ""Patient Care"", ""Accounting"", ""Social Media""]",health,Lucknow,ST,Rural,0,INT-008,"[""Case Analysis"", ""IP Law"", ""Contract Drafting"", ""Labour Law""]",legal,Mumbai,0.0,0,0.3,1.0,1,0
High School,"[""Medical Research"", ""Patient Care"", ""Accounting"", ""Social Media""]",health,Lucknow,ST,Rural,0,INT-005,"[""Policy Analysis"", ""Report Writing"", ""GIS Mapping""]",govt,Hyderabad,0.0,0,0.3,1.0,1,0
High School,"[""Medical Research"", ""Patient Care"", ""Accounting"", ""Social Media""]",health,Lucknow,ST,Rural,0,INT-045,"[""IoT"", ""Machine Learning""]",tech,Mumbai,0.0,0,0.3,1.0,1,0
High School,"[""Medical Research"", ""Patient Care"", ""Accounting"", ""Social Media""]",health,Lucknow,ST,Rural,0,INT-010,"[""Copywriting"", ""Graphic Design"", ""Video Editing"", ""SEO""]",media,Hyderabad,0.0,0,0.3,1.0,1,0
High School,"[""Medical Research"", ""Patient Care"", ""Accounting"", ""Social Media""]",health,Lucknow,ST,Rural,0,INT-035,"[""Content Writing"", ""Copywriting"", ""Photography"", ""SEO""]",media,Mumbai,0.0,0,0.3,1.0,1,0
High School,"[""Medical Research"", ""Patient Care"", ""Accounting"", ""Social Media""]",health,Lucknow,ST,Rural,0,INT-003,"[""Machine Learning"", ""Web Dev""]",tech,Chennai,0.0,0,0.3,1.0,1,0
High School,"[""Medical Research"", ""Patient Care"", ""Accounting"", ""Social Media""]",health,Lucknow,ST,Rural,0,INT-024,"[""Taxation"", ""Risk Analysis""]",finance,Mumbai,0.0,0,0.3,1.0,1,0
High School,"[""Medical Research"", ""Patient Care"", ""Accounting"", ""Social Media""]",health,Lucknow,ST,Rural,0,INT-038,"[""IP Law"", ""Compliance"", ""Contract Drafting"", ""Legal Research""]",legal,Kolkata,0.0,0,0.3,1.0,1,0
Diploma,"[""Report Writing"", ""Policy Analysis"", ""Documentation"", ""Community Outreach"", ""Survey Methods"", ""Taxation"", ""Labour Law""]",govt,Chennai,General,Semi-Urban,1,INT-040,"[""Report Writing"", ""Policy Analysis"", ""Survey Methods"", ""GIS Mapping""]",govt,Mumbai,0.75,1,0.3,0.6,2,1
Diploma,"[""Report Writing"", ""Policy Analysis"", ""Documentation"", ""Community Outreach"", ""Survey Methods"", ""Taxation"", ""Labour Law""]",govt,Chennai,General,Semi-Urban,1,INT-048,"[""Contract Drafting"", ""Case Analysis""]",legal,Mumbai,0.0,0,0.3,0.6,2,0
Diploma,"[""Report Writing"", ""Policy Analysis"", ""Documentation"", ""Community Outreach"", ""Survey Methods"", ""Taxation"", ""Labour Law""]",govt,Chennai,General,Semi-Urban,1,INT-010,"[""Copywriting"", ""Graphic Design"", ""Video Editing"", ""SEO""]",media,Hyderabad,0.0,0,0.3,0.6,2,0
Diploma,"[""Report Writing"", ""Policy Analysis"", ""Documentation"", ""Community Outreach"", ""Survey Methods"", ""Taxation"", ""Labour Law""]",govt,Chennai,General,Semi-Urban,1,INT-016,"[""Compliance"", ""IP Law"", ""Labour Law"", ""Contract Drafting""]",legal,Chennai,0.25,0,1.0,0.6,2,0
Diploma,"[""Report Writing"", ""Policy Analysis"", ""Documentation"", ""Community Outreach"", ""Survey Methods"", ""Taxation"", ""Labour Law""]",govt,Chennai,General,Semi-Urban,1,INT-011,"[""Labour Law"", ""Legal Research"", ""Contract Drafting"", ""Case Analysis""]",legal,Chennai,0.25,0,1.0,0.6,2,0
